step,task_type,total_loss,node_loss,graph_loss,energy_loss,physics_loss,lr,phase
0,node,3.9710824489593506,0.0034834810066968203,0.0,3.9675989151000977,0.0,0.00019999999879714197,0
1,graph,0.969454824924469,0.0,0.969454824924469,0.0,100.0,0.00019999999518856791,0
2,graph,1.1213815212249756,0.0,1.1213815212249756,0.0,100.0,0.0001999999891742779,0
3,graph,0.9040883779525757,0.0,0.9040883779525757,0.0,100.0,0.00019999998075427206,0
4,node,4.194608688354492,0.003599351504817605,0.0,4.191009521484375,0.0,0.00019999996992855066,0
5,graph,0.9403351545333862,0.0,0.9403351545333862,0.0,99.98564147949219,0.0001999999566971139,0
6,graph,1.0519781112670898,0.0,1.0519781112670898,0.0,100.0,0.00019999994105996218,0
7,graph,0.8844290971755981,0.0,0.8844290971755981,0.0,100.0,0.00019999992301709585,0
8,node,4.044054985046387,0.0021967787761241198,0.0,4.041858196258545,0.0,0.00019999990256851534,0
9,graph,0.9345765113830566,0.0,0.9345765113830566,0.0,100.0,0.00019999987971422114,0
10,graph,0.6710629463195801,0.0,0.6710629463195801,0.0,100.0,0.00019999985445421387,0
11,graph,0.8809088468551636,0.0,0.8809088468551636,0.0,100.0,0.00019999982678849408,0
12,node,6.268716335296631,0.0031761296559125185,0.0,6.26554012298584,0.0,0.00019999979671706254,0
13,graph,0.7885211706161499,0.0,0.7885211706161499,0.0,100.0,0.00019999976423991993,0
14,graph,0.6825965642929077,0.0,0.6825965642929077,0.0,100.0,0.0001999997293570671,0
15,graph,0.7960897088050842,0.0,0.7960897088050842,0.0,100.0,0.00019999969206850485,0
16,node,3.197594404220581,0.0016191632021218538,0.0,3.1959753036499023,0.0,0.00019999965237423414,0
17,graph,0.5942724943161011,0.0,0.5942724943161011,0.0,100.0,0.00019999961027425593,0
18,graph,1.074448823928833,0.0,1.074448823928833,0.0,100.0,0.00019999956576857125,0
19,graph,1.153179407119751,0.0,1.153179407119751,0.0,100.0,0.00019999951885718128,0
20,node,2.8531665802001953,0.0010886307572945952,0.0,2.8520779609680176,0.0,0.00019999946954008706,0
21,graph,0.7828158736228943,0.0,0.7828158736228943,0.0,100.0,0.00019999941781728985,0
22,graph,0.6500686407089233,0.0,0.6500686407089233,0.0,100.0,0.00019999936368879096,0
23,graph,0.7122223377227783,0.0,0.7122223377227783,0.0,100.0,0.0001999993071545917,0
24,node,31.258766174316406,0.0010159482480958104,0.0,31.257749557495117,0.0,0.0001999992482146935,0
25,graph,0.7804811596870422,0.0,0.7804811596870422,0.0,98.74542236328125,0.00019999918686909777,0
26,graph,0.890768826007843,0.0,0.890768826007843,0.0,99.89288330078125,0.000199999123117806,0
27,graph,1.5259888172149658,0.0,1.5259888172149658,0.0,98.76611328125,0.00019999905696081982,0
28,node,2.798797607421875,0.0009526645299047232,0.0,2.797844886779785,0.0,0.00019999898839814082,0
29,graph,0.7015190124511719,0.0,0.7015190124511719,0.0,99.24908447265625,0.00019999891742977072,0
30,graph,0.6912336349487305,0.0,0.6912336349487305,0.0,99.43743896484375,0.00019999884405571123,0
31,graph,0.6256463527679443,0.0,0.6256463527679443,0.0,100.0,0.00019999876827596423,0
32,node,2.3662118911743164,0.001423266832716763,0.0,2.36478853225708,0.0,0.00019999869009053154,0
33,graph,0.6144961714744568,0.0,0.6144961714744568,0.0,99.72428894042969,0.00019999860949941514,0
34,graph,0.6577550768852234,0.0,0.6577550768852234,0.0,99.9327621459961,0.00019999852650261698,0
35,graph,0.9246633648872375,0.0,0.9246633648872375,0.0,100.0,0.00019999844110013909,0
36,node,1.9733518362045288,0.0020724607165902853,0.0,1.9712793827056885,0.0,0.0001999983532919836,0
37,graph,0.8100584149360657,0.0,0.8100584149360657,0.0,99.06503295898438,0.00019999826307815267,0
38,graph,0.7215068340301514,0.0,0.7215068340301514,0.0,99.90147399902344,0.00019999817045864853,0
39,graph,0.6044633388519287,0.0,0.6044633388519287,0.0,99.92108154296875,0.00019999807543347344,0
40,node,3.235952615737915,0.001469898852519691,0.0,3.234482765197754,0.0,0.0001999979780026298,0
41,graph,0.7431726455688477,0.0,0.7431726455688477,0.0,99.00682830810547,0.00019999787816612,0
42,graph,0.6210504770278931,0.0,0.6210504770278931,0.0,99.87538146972656,0.00019999777592394642,0
43,graph,0.5824732780456543,0.0,0.5824732780456543,0.0,100.0,0.0001999976712761117,0
44,node,1.4470036029815674,0.001592210028320551,0.0,1.4454114437103271,0.0,0.00019999756422261838,0
45,graph,0.9474374651908875,0.0,0.9474374651908875,0.0,99.24028778076172,0.00019999745476346909,0
46,graph,0.6929889917373657,0.0,0.6929889917373657,0.0,100.0,0.00019999734289866648,0
47,graph,0.7764078378677368,0.0,0.7764078378677368,0.0,99.38978576660156,0.00019999722862821344,0
48,node,1.4934067726135254,0.000928200373891741,0.0,1.492478609085083,0.0,0.00019999711195211264,0
49,graph,0.5345615744590759,0.0,0.5345615744590759,0.0,99.86263275146484,0.00019999699287036706,0
50,graph,0.5099422931671143,0.0,0.5099422931671143,0.0,99.37301635742188,0.0001999968713829796,0
51,graph,0.3330279588699341,0.0,0.3330279588699341,0.0,99.5974349975586,0.0001999967474899533,0
52,node,7.934006690979004,0.0009353786008432508,0.0,7.933071136474609,0.0,0.00019999662119129117,0
53,graph,0.716437816619873,0.0,0.716437816619873,0.0,100.0,0.00019999649248699633,0
54,graph,0.5122848749160767,0.0,0.5122848749160767,0.0,100.0,0.00019999636137707199,0
55,graph,0.7171919941902161,0.0,0.7171919941902161,0.0,100.0,0.00019999622786152135,0
56,node,7.5414533615112305,0.0009517485741525888,0.0,7.540501594543457,0.0,0.0001999960919403477,0
57,graph,0.8223642110824585,0.0,0.8223642110824585,0.0,100.0,0.00019999595361355443,0
58,graph,0.46626055240631104,0.0,0.46626055240631104,0.0,100.0,0.0001999958128811449,0
59,graph,0.5903732180595398,0.0,0.5903732180595398,0.0,100.0,0.00019999566974312265,0
60,node,2.48962664604187,0.001488420064561069,0.0,2.488138198852539,0.0,0.0001999955241994912,0
61,graph,0.5908117890357971,0.0,0.5908117890357971,0.0,100.0,0.00019999537625025408,0
62,graph,0.7388749122619629,0.0,0.7388749122619629,0.0,100.0,0.00019999522589541496,0
63,graph,0.7274100184440613,0.0,0.7274100184440613,0.0,99.84930419921875,0.0001999950731349776,0
64,node,2.0705769062042236,0.001279735122807324,0.0,2.0692970752716064,0.0,0.00019999491796894575,0
65,graph,0.9603474140167236,0.0,0.9603474140167236,0.0,99.90052795410156,0.0001999947603973232,0
66,graph,0.6316513419151306,0.0,0.6316513419151306,0.0,100.0,0.00019999460042011385,0
67,graph,0.6991777420043945,0.0,0.6991777420043945,0.0,100.0,0.0001999944380373217,0
68,node,0.6733365058898926,0.0019407228101044893,0.0,0.6713957786560059,0.0,0.0001999942732489507,0
69,graph,0.5124393105506897,0.0,0.5124393105506897,0.0,100.0,0.00019999410605500494,0
70,graph,1.0859272480010986,0.0,1.0859272480010986,0.0,100.0,0.00019999393645548852,0
71,graph,0.4241883158683777,0.0,0.4241883158683777,0.0,100.0,0.00019999376445040565,0
72,node,9.099907875061035,0.0010714116506278515,0.0,9.098836898803711,0.0,0.00019999359003976058,0
73,graph,0.5863151550292969,0.0,0.5863151550292969,0.0,100.0,0.0001999934132235576,0
74,graph,0.6022610664367676,0.0,0.6022610664367676,0.0,99.60072326660156,0.00019999323400180107,0
75,graph,0.47442010045051575,0.0,0.47442010045051575,0.0,100.0,0.00019999305237449545,0
76,node,2.517303466796875,0.0027785298880189657,0.0,2.5145249366760254,0.0,0.00019999286834164516,0
